,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,-4.4405665
11,-67.912575
12,-1.9845061
13,-1.9845061
14,-29.083279
15,0.13505839
16,-0.5255982
17,-4.759597
18,-14.180303
19,-0.31798622
